Moving1.Position[deg],I_aa[A],FluxLinkage(A)[Wb]
10,0,-0
10.9,0,0
11.8,0,0
12.7,0,0
13.6,0,0
14.5,0,0
15.4,0,0
16.3,0,0
17.2,0,0
18.1,0,0
19,0,0
19.9,0,0
20.8,0,0
21.7,0,0
22.6,0,0
23.5,0,0
24.4,0,0
25.3,0,0
26.2,0,0
27.1,0,0
28,0,0
28.9,0,0
29.8,0,0
30.7,0,0
31.6,0,0
32.5,0,0
33.4,0,0
34.3,0,0
35.2,0,0
36.1,0,0
37,0,0
37.9,0,0
38.8,0,0
39.7,0,0
40.6,0,0
41.5,0,0
42.4,0,0
43.3,0,0
44.2,0,0
45.1,0,0
46,0,0
46.9,0,0
47.8,0,0
48.7,0,0
49.6,0,0
50.5,0,0
51.4,0,0
52.3,0,0
53.2,0,0
54.1,0,0
55,0,0
10,44,0.00664515
10.9,44,0.00599476
11.8,44,0.00560714
12.7,44,0.00535618
13.6,44,0.00520421
14.5,44,0.00512795
15.4,44,0.00512754
16.3,44,0.00519274
17.2,44,0.00533264
18.1,44,0.00556368
19,44,0.00593596
19.9,44,0.0065367
20.8,44,0.00767086
21.7,44,0.00989926
22.6,44,0.0130083
23.5,44,0.0159777
24.4,44,0.0183206
25.3,44,0.0204154
26.2,44,0.0222025
27.1,44,0.0236688
28,44,0.0247852
28.9,44,0.0255553
29.8,44,0.0260531
30.7,44,0.0261762
31.6,44,0.0260564
32.5,44,0.0255947
33.4,44,0.0248904
34.3,44,0.0239957
35.2,44,0.0229495
36.1,44,0.0221113
37,44,0.0217814
37.9,44,0.0216752
38.8,44,0.0219964
39.7,44,0.022796
40.6,44,0.0238459
41.5,44,0.024775
42.4,44,0.0255128
43.3,44,0.0260008
44.2,44,0.0261457
45.1,44,0.0260613
46,44,0.0255833
46.9,44,0.0248544
47.8,44,0.023757
48.7,44,0.0223731
49.6,44,0.0206821
50.5,44,0.0186132
51.4,44,0.0163305
52.3,44,0.0134458
53.2,44,0.0103286
54.1,44,0.00787626
55,44,0.00663867
10,88,0.0133346
10.9,88,0.0120213
11.8,88,0.0112395
12.7,88,0.0107337
13.6,88,0.0104275
14.5,88,0.010274
15.4,88,0.0102731
16.3,88,0.0104045
17.2,88,0.0106862
18.1,88,0.0111519
19,88,0.0119026
19.9,88,0.0131156
20.8,88,0.0154091
21.7,88,0.0199258
22.6,88,0.0262268
23.5,88,0.0322395
24.4,88,0.0369877
25.3,88,0.0412342
26.2,88,0.0448574
27.1,88,0.0478301
28,88,0.0500941
28.9,88,0.0516559
29.8,88,0.052665
30.7,88,0.0529137
31.6,88,0.0526688
32.5,88,0.0517303
33.4,88,0.0502997
34.3,88,0.0484837
35.2,88,0.046362
36.1,88,0.0446638
37,88,0.0439978
37.9,88,0.0437833
38.8,88,0.044432
39.7,88,0.0460515
40.6,88,0.0481803
41.5,88,0.0500657
42.4,88,0.0515641
43.3,88,0.0525558
44.2,88,0.0528517
45.1,88,0.0526817
46,88,0.0517128
46.9,88,0.0502345
47.8,88,0.048009
48.7,88,0.0452029
49.6,88,0.0417743
50.5,88,0.0375803
51.4,88,0.032952
52.3,88,0.0271099
53.2,88,0.0207967
54.1,88,0.0158263
55,88,0.0133217
10,132,0.0200429
10.9,132,0.0180641
11.8,132,0.0168868
12.7,132,0.0161254
13.6,132,0.0156646
14.5,132,0.0154336
15.4,132,0.0154323
16.3,132,0.0156299
17.2,132,0.016054
18.1,132,0.0167549
19,132,0.0178854
19.9,132,0.0197128
20.8,132,0.0231698
21.7,132,0.0299707
22.6,132,0.0394375
23.5,132,0.0484221
24.4,132,0.0555699
25.3,132,0.0619748
26.2,132,0.0674227
27.1,132,0.0718902
28,132,0.075292
28.9,132,0.077636
29.8,132,0.0791493
30.7,132,0.0795258
31.6,132,0.0791639
32.5,132,0.0777642
33.4,132,0.0756263
34.3,132,0.0729031
35.2,132,0.0697205
36.1,132,0.0671746
37,132,0.0661953
37.9,132,0.0658787
38.8,132,0.0668329
39.7,132,0.0692567
40.6,132,0.0724497
41.5,132,0.0752769
42.4,132,0.0775167
43.3,132,0.0789958
44.2,132,0.0794338
45.1,132,0.0791749
46,132,0.0777215
46.9,132,0.0755028
47.8,132,0.0721591
48.7,132,0.06794
49.6,132,0.0627756
50.5,132,0.0564573
51.4,132,0.0494465
52.3,132,0.0407387
53.2,132,0.0312852
54.1,132,0.0237994
55,132,0.0200239
10,176,0.0267573
10.9,176,0.0241127
11.8,176,0.0225389
12.7,176,0.0215215
13.6,176,0.0209061
14.5,176,0.0205975
15.4,176,0.0205958
16.3,176,0.0208597
17.2,176,0.0214262
18.1,176,0.0223627
19,176,0.0238737
19.9,176,0.0263164
20.8,176,0.0309353
21.7,176,0.0399659
22.6,176,0.0519457
23.5,176,0.0627227
24.4,176,0.072661
25.3,176,0.0812461
26.2,176,0.0888174
27.1,176,0.0951006
28,176,0.099911
28.9,176,0.103187
29.8,176,0.105237
30.7,176,0.105756
31.6,176,0.105276
32.5,176,0.103397
33.4,176,0.100483
34.3,176,0.0966724
35.2,176,0.0923423
36.1,176,0.0889576
37,176,0.0879701
37.9,176,0.0876696
38.8,176,0.0885846
39.7,176,0.0917967
40.6,176,0.0960816
41.5,176,0.100024
42.4,176,0.103081
43.3,176,0.105058
44.2,176,0.105638
45.1,176,0.105271
46,176,0.103295
46.9,176,0.100223
47.8,176,0.0955049
48.7,176,0.0895203
49.6,176,0.0822334
50.5,176,0.0736942
51.4,176,0.0641519
52.3,176,0.0534653
53.2,176,0.0416406
54.1,176,0.0317955
55,176,0.0267323
10,220,0.0334737
10.9,220,0.0301636
11.8,220,0.0281933
12.7,220,0.0269195
13.6,220,0.0261492
14.5,220,0.025763
15.4,220,0.0257608
16.3,220,0.0260911
17.2,220,0.0268001
18.1,220,0.0279726
19,220,0.0298643
19.9,220,0.032922
20.8,220,0.0387018
21.7,220,0.0496056
22.6,220,0.0621115
23.5,220,0.0732274
24.4,220,0.0849359
25.3,220,0.0955006
26.2,220,0.105447
27.1,220,0.114169
28,220,0.121135
28.9,220,0.126282
29.8,220,0.129774
30.7,220,0.13097
31.6,220,0.130069
32.5,220,0.127068
33.4,220,0.122839
34.3,220,0.117566
35.2,220,0.112156
36.1,220,0.108024
37,220,0.107514
37.9,220,0.107216
38.8,220,0.107485
39.7,220,0.111659
40.6,220,0.116984
41.5,220,0.122299
42.4,220,0.126642
43.3,220,0.129737
44.2,220,0.130829
45.1,220,0.129959
46,220,0.126544
46.9,220,0.121643
47.8,220,0.1147
48.7,220,0.106594
49.6,220,0.0969288
50.5,220,0.0862693
51.4,220,0.0745927
52.3,220,0.0633784
53.2,220,0.0511155
54.1,220,0.0397518
55,220,0.0334427
10,264,0.0401907
10.9,264,0.0362155
11.8,264,0.0338488
12.7,264,0.0323186
13.6,264,0.0313933
14.5,264,0.0309295
15.4,264,0.0309269
16.3,264,0.0313236
17.2,264,0.0321751
18.1,264,0.0335837
19,264,0.0358561
19.9,264,0.0395284
20.8,264,0.0464665
21.7,264,0.0580114
22.6,264,0.0702763
23.5,264,0.0817917
24.4,264,0.0939348
25.3,264,0.105032
26.2,264,0.116519
27.1,264,0.126933
28,264,0.136486
28.9,264,0.143903
29.8,264,0.149495
30.7,264,0.151531
31.6,264,0.15071
32.5,264,0.14676
33.4,264,0.140854
34.3,264,0.134149
35.2,264,0.128045
36.1,264,0.124177
37,264,0.124135
37.9,264,0.124127
38.8,264,0.123872
39.7,264,0.127411
40.6,264,0.133206
41.5,264,0.140114
42.4,264,0.145889
43.3,264,0.150442
44.2,264,0.15147
45.1,264,0.149789
46,264,0.144674
46.9,264,0.137371
47.8,264,0.12794
48.7,264,0.117749
49.6,264,0.106376
50.5,264,0.095225
51.4,264,0.0831284
52.3,264,0.0715652
53.2,264,0.0594702
54.1,264,0.0477269
55,264,0.0401547
10,308,0.0469072
10.9,308,0.0422679
11.8,308,0.0395049
12.7,308,0.0377183
13.6,308,0.0366379
14.5,308,0.0360965
15.4,308,0.0360935
16.3,308,0.0365565
17.2,308,0.0375508
18.1,308,0.0391954
19,308,0.0418483
19.9,308,0.0461346
20.8,308,0.0542227
21.7,308,0.0658925
22.6,308,0.0778322
23.5,308,0.0894681
24.4,308,0.101506
25.3,308,0.112886
26.2,308,0.124834
27.1,308,0.135874
28,308,0.146781
28.9,308,0.156205
29.8,308,0.163783
30.7,308,0.166479
31.6,308,0.165923
32.5,308,0.161412
33.4,308,0.155009
34.3,308,0.147665
35.2,308,0.141956
36.1,308,0.139194
37,308,0.139262
37.9,308,0.139271
38.8,308,0.139003
39.7,308,0.141373
40.6,308,0.146837
41.5,308,0.154227
42.4,308,0.160717
43.3,308,0.165584
44.2,308,0.166476
45.1,308,0.163847
46,308,0.156996
46.9,308,0.147885
47.8,308,0.137041
48.7,308,0.126082
49.6,308,0.114227
50.5,308,0.10276
51.4,308,0.090787
52.3,308,0.0792014
53.2,308,0.0673643
54.1,308,0.0556507
55,308,0.0468784
10,352,0.053622
10.9,352,0.0483202
11.8,352,0.0451611
12.7,352,0.0431182
13.6,352,0.0418828
14.5,352,0.0412637
15.4,352,0.0412603
16.3,352,0.0417897
17.2,352,0.0429267
18.1,352,0.0448073
19,352,0.0478403
19.9,352,0.0527399
20.8,352,0.0618587
21.7,352,0.073411
22.6,352,0.0851364
23.5,352,0.0966309
24.4,352,0.10852
25.3,352,0.120122
26.2,352,0.132146
27.1,352,0.143416
28,352,0.154701
28.9,352,0.16471
29.8,352,0.17307
30.7,352,0.177532
31.6,352,0.177321
32.5,352,0.173056
33.4,352,0.167134
34.3,352,0.160275
35.2,352,0.155064
36.1,352,0.153414
37,352,0.153399
37.9,352,0.153352
38.8,352,0.153201
39.7,352,0.154489
40.6,352,0.159438
41.5,352,0.166389
42.4,352,0.172412
43.3,352,0.176977
44.2,352,0.177642
45.1,352,0.173798
46,352,0.165637
46.9,352,0.15586
47.8,352,0.14461
48.7,352,0.133387
49.6,352,0.121483
50.5,352,0.109817
51.4,352,0.097979
52.3,352,0.0865433
53.2,352,0.0747559
54.1,352,0.0633346
55,352,0.0535725
10,396,0.0603296
10.9,396,0.0543726
11.8,396,0.0508171
12.7,396,0.0485182
13.6,396,0.0471277
14.5,396,0.046431
15.4,396,0.0464271
16.3,396,0.0470229
17.2,396,0.0483025
18.1,396,0.050419
19,396,0.0538319
19.9,396,0.0593438
20.8,396,0.069226
21.7,396,0.0804822
22.6,396,0.0921612
23.5,396,0.103541
24.4,396,0.115322
25.3,396,0.127054
26.2,396,0.138983
27.1,396,0.150337
28,396,0.161661
28.9,396,0.171645
29.8,396,0.180191
30.7,396,0.185602
31.6,396,0.186112
32.5,396,0.182672
33.4,396,0.177754
34.3,396,0.172038
35.2,396,0.167582
36.1,396,0.166561
37,396,0.166557
37.9,396,0.166499
38.8,396,0.166334
39.7,396,0.167071
40.6,396,0.171264
41.5,396,0.177109
42.4,396,0.182109
43.3,396,0.18584
44.2,396,0.185842
45.1,396,0.180986
46,396,0.172586
46.9,396,0.16281
47.8,396,0.151549
48.7,396,0.140232
49.6,396,0.128432
50.5,396,0.116662
51.4,396,0.104895
52.3,396,0.0935536
53.2,396,0.0817843
54.1,396,0.0705359
55,396,0.060277
10,440,0.0670235
10.9,440,0.060428
11.8,440,0.0564727
12.7,440,0.0539178
13.6,440,0.0523724
14.5,440,0.051598
15.4,440,0.0515937
16.3,440,0.0522559
17.2,440,0.0536782
18.1,440,0.0560304
19,440,0.0598228
19.9,440,0.0659434
20.8,440,0.0762259
21.7,440,0.0873129
22.6,440,0.0989179
23.5,440,0.110226
24.4,440,0.121976
25.3,440,0.133754
26.2,440,0.145511
27.1,440,0.156874
28,440,0.168054
28.9,440,0.177681
29.8,440,0.186134
30.7,440,0.191807
31.6,440,0.193419
32.5,440,0.190982
33.4,440,0.187009
34.3,440,0.182377
35.2,440,0.17899
36.1,440,0.178364
37,440,0.178308
37.9,440,0.178278
38.8,440,0.178148
39.7,440,0.178598
40.6,440,0.181764
41.5,440,0.18646
42.4,440,0.190519
43.3,440,0.193269
44.2,440,0.192136
45.1,440,0.186932
46,440,0.178617
46.9,440,0.169161
47.8,440,0.158095
48.7,440,0.146775
49.6,440,0.135118
50.5,440,0.123343
51.4,440,0.111552
52.3,440,0.100257
53.2,440,0.0886308
54.1,440,0.0774937
