"Time [ns]","Moving1.Position [deg]","FluxLinkage(A) [Wb] - I_aa='0A'","Moving1.Position [deg]","FluxLinkage(A) [Wb] - I_aa='12.7777777777778A'","Moving1.Position [deg]","FluxLinkage(A) [Wb] - I_aa='25.5555555555556A'","Moving1.Position [deg]","FluxLinkage(A) [Wb] - I_aa='38.3333333333333A'","Moving1.Position [deg]","FluxLinkage(A) [Wb] - I_aa='51.1111111111111A'","Moving1.Position [deg]","FluxLinkage(A) [Wb] - I_aa='63.8888888888889A'","Moving1.Position [deg]","FluxLinkage(A) [Wb] - I_aa='76.6666666666667A'","Moving1.Position [deg]","FluxLinkage(A) [Wb] - I_aa='89.4444444444445A'","Moving1.Position [deg]","FluxLinkage(A) [Wb] - I_aa='102.222222222222A'","Moving1.Position [deg]","FluxLinkage(A) [Wb] - I_aa='115A'"
0,-7.50000000000002,-0,-7.50000000000002,0.0991251577468074,-7.50000000000002,0.19998528842529,-7.50000000000002,0.300662819025328,-7.50000000000002,0.398796008626902,-7.50000000000002,0.485030027277591,-7.50000000000002,0.55559411050683,-7.50000000000002,0.619056394013963,-7.50000000000002,0.678728198437328,-7.50000000000002,0.730980903687715
60000,-6.60000000000001,0,-6.60000000000001,0.100276380671222,-6.60000000000001,0.202304185405772,-6.60000000000001,0.303973585645292,-6.60000000000001,0.398602617434431,-6.60000000000001,0.479700073245595,-6.60000000000001,0.552630556668747,-6.60000000000001,0.617965817663127,-6.60000000000001,0.678669344681508,-6.60000000000001,0.731110112247559
120000,-5.7,0,-5.7,0.103526149528343,-5.7,0.208849759807969,-5.7,0.313461978803095,-5.7,0.410308789012966,-5.7,0.488402279878267,-5.7,0.556187659379411,-5.7,0.619154852849151,-5.7,0.678594460592518,-5.7,0.731036149987638
180000,-4.8,0,-4.8,0.108488692582241,-4.8,0.218870440169187,-4.8,0.328566138346093,-4.8,0.429949723496908,-4.8,0.509667778380855,-4.8,0.574099022275857,-4.8,0.633402961760625,-4.8,0.68886627592522,-4.8,0.737273650606277
240000,-3.9,0,-3.9,0.11350128001478,-3.9,0.229004746656739,-3.9,0.343709703003711,-3.9,0.450910008302014,-3.9,0.536474188361451,-3.9,0.602229526697812,-3.9,0.659730855017288,-3.9,0.710490256331551,-3.9,0.753876637589512
300000,-3,0,-3,0.117450052713475,-3,0.236994048485882,-3,0.355628253453675,-3,0.46841312858139,-3,0.562189787106604,-3,0.630221704528027,-3,0.685075374269805,-3,0.730630693312945,-3,0.769734036389339
360000,-2.1,0,-2.1,0.120403815624339,-2.1,0.242973010499164,-2.1,0.364509386818135,-2.1,0.48175241332982,-2.1,0.581473436614587,-2.1,0.65539553838949,-2.1,0.706515232537905,-2.1,0.747814493827445,-2.1,0.782572029637592
420000,-1.2,0,-1.2,0.121797925778462,-1.2,0.24579879200479,-1.2,0.368690560978708,-1.2,0.488397337821092,-1.2,0.591528624352944,-1.2,0.664756210654605,-1.2,0.716499207149746,-1.2,0.754159706787623,-1.2,0.783523035540791
480000,-0.300000000000001,0,-0.300000000000001,0.122026851026391,-0.300000000000001,0.246261579395676,-0.300000000000001,0.369347563284539,-0.300000000000001,0.489122148066486,-0.300000000000001,0.5905086875539,-0.300000000000001,0.662828537554185,-0.300000000000001,0.709455115781642,-0.300000000000001,0.742729681057264,-0.300000000000001,0.769037518226543
540000,0.600000000000001,0,0.600000000000001,0.120627403015129,0.600000000000001,0.243427005324518,0.600000000000001,0.36508210039244,0.600000000000001,0.48204853427634,0.600000000000001,0.576943160442387,0.600000000000001,0.642051880136487,0.600000000000001,0.684075272481621,0.600000000000001,0.713584326277548,0.600000000000001,0.740191246993867
600000,1.5,0,1.5,0.117928977694897,1.5,0.237962293837981,1.5,0.35686829944928,1.5,0.46821320047198,1.5,0.553626155760719,1.5,0.608155241175717,1.5,0.646049890524208,1.5,0.677563258945848,1.5,0.705335166806358
660000,2.4,0,2.4,0.113538135586605,2.4,0.229079191427037,2.4,0.343506133142656,2.4,0.446771902632101,2.4,0.520295227826858,2.4,0.5669064422559,2.4,0.602757924069902,2.4,0.634635803251125,2.4,0.66414089421855
720000,3.3,0,3.3,0.107728193917807,3.3,0.217328783674387,3.3,0.325731600103656,3.3,0.419640284704174,3.3,0.48237441494373,3.3,0.523311152569472,3.3,0.55773000376762,3.3,0.58947011378473,3.3,0.619456814810618
780000,4.2,0,4.2,0.100725617741359,4.2,0.20316432012051,4.2,0.303897253066671,4.2,0.387025830990568,4.2,0.439069336582455,4.2,0.477529920225868,4.2,0.51178844583706,4.2,0.543617236924559,4.2,0.573672506740882
840000,5.1,0,5.1,0.091744992852141,5.1,0.185005605708529,5.1,0.276055776123995,5.1,0.349031561086656,5.1,0.394739681659357,5.1,0.431007773667595,5.1,0.464369236588388,5.1,0.496219403675851,5.1,0.526766032081299
900000,6.00000000000001,0,6.00000000000001,0.0815224207558451,6.00000000000001,0.164328835091444,6.00000000000001,0.244558815643349,6.00000000000001,0.306049650521304,6.00000000000001,0.348127247518784,6.00000000000001,0.384516080925488,6.00000000000001,0.417632713516719,6.00000000000001,0.449031133827173,6.00000000000001,0.479512188997158
960000,6.90000000000002,0,6.90000000000002,0.0691827571524967,6.90000000000002,0.139387056925033,6.90000000000002,0.20748952639321,6.90000000000002,0.26036113744954,6.90000000000002,0.300964929683953,6.90000000000002,0.337167919472034,6.90000000000002,0.370536400756046,6.90000000000002,0.402156541690215,6.90000000000002,0.432765610705515
1020000,7.80000000000002,0,7.80000000000002,0.0545149408447261,7.80000000000002,0.109770711755594,7.80000000000002,0.164859288931346,7.80000000000002,0.213259024464147,7.80000000000002,0.254224688179003,7.80000000000002,0.290067196950431,7.80000000000002,0.323725892200612,7.80000000000002,0.35625934723532,7.80000000000002,0.387499993383423
1080000,8.70000000000002,0,8.70000000000002,0.040907689844111,8.70000000000002,0.0822662698054017,8.70000000000002,0.123767840380879,8.70000000000002,0.165010139297923,8.70000000000002,0.205683038794596,8.70000000000002,0.242291446295108,8.70000000000002,0.27663096670101,8.70000000000002,0.310098544287037,8.70000000000002,0.341705997983678
1140000,9.60000000000002,0,9.60000000000002,0.0328593205345814,9.60000000000002,0.0659806131233254,9.60000000000002,0.099180768351976,9.60000000000002,0.132402953675867,9.60000000000002,0.16577025781599,9.60000000000002,0.198834095410575,9.60000000000002,0.232018529435399,9.60000000000002,0.265107606086144,9.60000000000002,0.297772503491534
1200000,10.5,0,10.5,0.0288911342270224,10.5,0.0579633473234155,10.5,0.0871019263370394,10.5,0.116261647514393,10.5,0.145429056521094,10.5,0.174598047961296,10.5,0.203768413609945,10.5,0.232965831249111,10.5,0.26221543586522
1260000,11.4,0,11.4,0.0267099068955827,11.4,0.0535625253895827,11.4,0.0804736060743787,11.4,0.107404386936345,11.4,0.134342998362729,11.4,0.161285068635714,11.4,0.18822737336681,11.4,0.215168432789526,11.4,0.242106226425976
1320000,12.3,0,12.3,0.0252756614136912,12.3,0.0506709804271751,12.3,0.0761216843920595,12.3,0.101588849499672,12.3,0.127063424379373,12.3,0.15254205049156,12.3,0.1780219640918,12.3,0.203501229049212,12.3,0.228978658124641
1380000,13.2,0,13.2,0.0244026808172933,13.2,0.0489118190369536,13.2,0.0734751050417657,13.2,0.0980533271802309,13.2,0.122637958558459,13.2,0.147226242913993,13.2,0.171816019704277,13.2,0.1964056432092,13.2,0.220994043638993
1440000,14.1,0,14.1,0.023924374322364,14.1,0.0479482519395329,14.1,0.0720257381404288,14.1,0.0961176356280393,14.1,0.12021566015198,14.1,0.144317062108247,14.1,0.16841976564692,14.1,0.192522289871387,14.1,0.216623662645101
1500000,15,0,15,0.0237394671553818,15,0.0475758806278107,15,0.0714657125590044,15,0.0953698114704295,15,0.119280004598971,15,0.143193571045419,15,0.167108462338453,15,0.191023207725195,15,0.214936789604635
1560000,15.9,0,15.9,0.0239126428707591,15.9,0.0479246296495313,15.9,0.0719902112947569,15.9,0.0960702123345724,15.9,0.120156333154382,15.9,0.144245839919399,15.9,0.168336653847602,15.9,0.192427287127261,15.9,0.216516740275272
1620000,16.8,0,16.8,0.0244038073397736,16.8,0.0489140735900328,16.8,0.0734784941315594,16.8,0.0980578546527684,16.8,0.12264361503548,16.8,0.147232941957591,16.8,0.171823690960736,16.8,0.196414308252194,16.8,0.221003725712055
1680000,17.7,0,17.7,0.0252717516009611,17.7,0.0506630726938891,17.7,0.0761098121291229,17.7,0.101572911584566,17.7,0.12704328492599,17.7,0.152517759945068,17.7,0.17799352604385,17.7,0.203468735177326,17.7,0.228942181931474
1740000,18.6,0,18.6,0.0267068614535387,18.6,0.0535562839450483,18.6,0.0804641437141978,18.6,0.107391437171184,18.6,0.134326697345216,18.6,0.161265528243785,18.6,0.188204507838477,18.6,0.215141855050378,18.6,0.24207593297597
1800000,19.5,0,19.5,0.0289063347017065,19.5,0.0579936518661216,19.5,0.0871465827020217,19.5,0.116320967039082,19.5,0.145502339856133,19.5,0.174685428271555,19.5,0.20386680162702,19.5,0.233043714190931,19.5,0.262213010578953
1860000,20.4,0,20.4,0.0328330311482439,20.4,0.0659247083242782,20.4,0.0990939507805283,20.4,0.132280493373049,20.4,0.165470778089665,20.4,0.198656088053754,20.4,0.231825374438671,20.4,0.264908339526081,20.4,0.297448077880121
