Moving1.Position[deg],I_aa[A],FluxLinkage(A)[Wb]
-7.50000000000002,0,-0
-6.60000000000001,0,0
-5.7,0,0
-4.8,0,0
-3.9,0,0
-3,0,0
-2.1,0,0
-1.2,0,0
-0.300000000000001,0,0
0.600000000000001,0,0
1.5,0,0
2.4,0,0
3.3,0,0
4.2,0,0
5.1,0,0
6.00000000000001,0,0
6.90000000000002,0,0
7.80000000000002,0,0
8.70000000000002,0,0
9.60000000000002,0,0
10.5,0,0
11.4,0,0
12.3,0,0
13.2,0,0
14.1,0,0
15,0,0
15.9,0,0
16.8,0,0
17.7,0,0
18.6,0,0
19.5,0,0
20.4,0,0
21.3,0,0
22.2,0,0
23.1,0,0
24,0,0
24.9,0,0
25.8,0,0
26.7,0,0
27.6,0,0
28.5,0,0
29.4,0,0
30.3,0,0
31.2,0,0
32.1,0,0
33,0,0
33.9,0,0
34.8,0,0
35.7,0,0
36.6,0,0
37.5,0,0
38.4,0,0
39.3,0,0
40.2,0,0
41.1,0,0
42,0,0
42.9,0,0
43.8,0,0
44.7,0,0
45.6,0,0
46.5,0,0
47.4,0,0
48.3,0,0
49.2000000000001,0,0
50.1000000000001,0,0
51.0000000000001,0,0
51.9,0,0
52.8,0,0
53.7,0,0
54.6,0,0
55.5,0,0
56.4,0,0
57.2999999999999,0,0
58.2,0,0
59.1000000000001,0,0
60.0000000000001,0,0
60.9000000000002,0,0
61.8000000000003,0,0
62.7000000000003,0,0
63.6000000000004,0,0
64.4999999999999,0,0
65.3999999999999,0,0
66.3,0,0
67.2,0,0
68.1000000000001,0,0
69.0000000000001,0,0
69.9000000000002,0,0
70.8000000000003,0,0
71.7000000000003,0,0
72.6000000000004,0,0
73.5000000000005,0,0
74.3999999999999,0,0
75.3,0,0
76.2000000000001,0,0
77.1000000000001,0,0
78.0000000000002,0,0
78.9000000000002,0,0
79.8000000000003,0,0
80.7000000000003,0,0
81.6000000000004,0,0
82.4999999999999,0,0
-7.50000000000002,12.7777777777778,0.0991252
-6.60000000000001,12.7777777777778,0.100276
-5.7,12.7777777777778,0.103526
-4.8,12.7777777777778,0.108489
-3.9,12.7777777777778,0.113501
-3,12.7777777777778,0.11745
-2.1,12.7777777777778,0.120404
-1.2,12.7777777777778,0.121798
-0.300000000000001,12.7777777777778,0.122027
0.600000000000001,12.7777777777778,0.120627
1.5,12.7777777777778,0.117929
2.4,12.7777777777778,0.113538
3.3,12.7777777777778,0.107728
4.2,12.7777777777778,0.100726
5.1,12.7777777777778,0.091745
6.00000000000001,12.7777777777778,0.0815224
6.90000000000002,12.7777777777778,0.0691828
7.80000000000002,12.7777777777778,0.0545149
8.70000000000002,12.7777777777778,0.0409077
9.60000000000002,12.7777777777778,0.0328593
10.5,12.7777777777778,0.0288911
11.4,12.7777777777778,0.0267099
12.3,12.7777777777778,0.0252757
13.2,12.7777777777778,0.0244027
14.1,12.7777777777778,0.0239244
15,12.7777777777778,0.0237395
15.9,12.7777777777778,0.0239126
16.8,12.7777777777778,0.0244038
17.7,12.7777777777778,0.0252718
18.6,12.7777777777778,0.0267069
19.5,12.7777777777778,0.0289063
20.4,12.7777777777778,0.032833
21.3,12.7777777777778,0.0408033
22.2,12.7777777777778,0.0547247
23.1,12.7777777777778,0.0691701
24,12.7777777777778,0.0816098
24.9,12.7777777777778,0.091692
25.8,12.7777777777778,0.10074
26.7,12.7777777777778,0.107637
27.6,12.7777777777778,0.113558
28.5,12.7777777777778,0.117812
29.4,12.7777777777778,0.120616
30.3,12.7777777777778,0.122059
31.2,12.7777777777778,0.121797
32.1,12.7777777777778,0.120382
33,12.7777777777778,0.117484
33.9,12.7777777777778,0.113496
34.8,12.7777777777778,0.108469
35.7,12.7777777777778,0.103527
36.6,12.7777777777778,0.100175
37.5,12.7777777777778,0.0991223
38.4,12.7777777777778,0.100502
39.3,12.7777777777778,0.103512
40.2,12.7777777777778,0.108475
41.1,12.7777777777778,0.1135
42,12.7777777777778,0.117481
42.9,12.7777777777778,0.120373
43.8,12.7777777777778,0.121782
44.7,12.7777777777778,0.122026
45.6,12.7777777777778,0.120625
46.5,12.7777777777778,0.117869
47.4,12.7777777777778,0.113617
48.3,12.7777777777778,0.107811
49.2000000000001,12.7777777777778,0.100624
50.1000000000001,12.7777777777778,0.0916721
51.0000000000001,12.7777777777778,0.0816238
51.9,12.7777777777778,0.0692109
52.8,12.7777777777778,0.0545878
53.7,12.7777777777778,0.0408768
54.6,12.7777777777778,0.0328414
55.5,12.7777777777778,0.0288963
56.4,12.7777777777778,0.0267123
57.2999999999999,12.7777777777778,0.0252666
58.2,12.7777777777778,0.0244037
59.1000000000001,12.7777777777778,0.0239209
60.0000000000001,12.7777777777778,0.0237395
60.9000000000002,12.7777777777778,0.0239223
61.8000000000003,12.7777777777778,0.0244023
62.7000000000003,12.7777777777778,0.0252829
63.6000000000004,12.7777777777778,0.0267061
